Entity,Code,Year,Government action on climate
Afghanistan,AFG,2024,88.5
Albania,ALB,2024,92.8
Algeria,DZA,2024,90.4
Argentina,ARG,2024,93
Armenia,ARM,2024,83.9
Australia,AUS,2024,83.3
Austria,AUT,2024,84.5
Bangladesh,BGD,2024,94
Belgium,BEL,2024,89.8
Benin,BEN,2024,93
Bolivia,BOL,2024,97.9
Bosnia and Herzegovina,BIH,2024,90.9
Botswana,BWA,2024,91.5
Brazil,BRA,2024,95
Bulgaria,BGR,2024,91.3
Burkina Faso,BFA,2024,90.1
Cambodia,KHM,2024,96.1
Cameroon,CMR,2024,89.6
Canada,CAN,2024,82.5
Chile,CHL,2024,98.2
China,CHN,2024,97.1
Colombia,COL,2024,96.8
Congo,COG,2024,84.2
Costa Rica,CRI,2024,94.6
Cote d'Ivoire,CIV,2024,90.9
Croatia,HRV,2024,83.1
Cyprus,CYP,2024,96.1
Czechia,CZE,2024,87.6
Denmark,DNK,2024,72.7
Dominican Republic,DOM,2024,92.6
Ecuador,ECU,2024,95.9
Egypt,EGY,2024,84
El Salvador,SLV,2024,92.4
Estonia,EST,2024,70.1
Finland,FIN,2024,61.9
France,FRA,2024,85.1
Gabon,GAB,2024,89.4
Georgia,GEO,2024,95.6
Germany,DEU,2024,85.9
Ghana,GHA,2024,89.4
Greece,GRC,2024,92.6
Guatemala,GTM,2024,90.3
Guinea,GIN,2024,93.8
Honduras,HND,2024,89.5
Hong Kong,HKG,2024,94.6
Hungary,HUN,2024,88.3
Iceland,ISL,2024,80.9
India,IND,2024,80
Indonesia,IDN,2024,86.5
Iran,IRN,2024,95.2
Iraq,IRQ,2024,72.8
Ireland,IRL,2024,87.7
Israel,ISR,2024,89.5
Italy,ITA,2024,92.8
Jamaica,JAM,2024,93.3
Japan,JPN,2024,85.7
Jordan,JOR,2024,85.9
Kazakhstan,KAZ,2024,78.7
Kenya,KEN,2024,92.7
Kosovo,OWID_KOS,2024,93.2
Kyrgyzstan,KGZ,2024,86.5
Laos,LAO,2024,87.1
Latvia,LVA,2024,76.7
Lebanon,LBN,2024,74.2
Lithuania,LTU,2024,88.7
Madagascar,MDG,2024,83.2
Malawi,MWI,2024,75.6
Malaysia,MYS,2024,96.2
Mali,MLI,2024,96.6
Malta,MLT,2024,92.9
Mauritius,MUS,2024,97.1
Mexico,MEX,2024,96.3
Moldova,MDA,2024,91.3
Mongolia,MNG,2024,92.7
Morocco,MAR,2024,92.9
Mozambique,MOZ,2024,68.5
Namibia,NAM,2024,90
Nepal,NPL,2024,91
Netherlands,NLD,2024,81.8
New Zealand,NZL,2024,73.7
Nicaragua,NIC,2024,95.7
Nigeria,NGA,2024,89.2
North Macedonia,MKD,2024,93.7
Norway,NOR,2024,76.5
Pakistan,PAK,2024,80.7
Panama,PAN,2024,92.9
Paraguay,PRY,2024,96.1
Peru,PER,2024,96.2
Philippines,PHL,2024,94.1
Poland,POL,2024,86.2
Portugal,PRT,2024,95.5
Romania,ROU,2024,94
Russia,RUS,2024,78.6
Senegal,SEN,2024,91.5
Serbia,SRB,2024,89.9
Sierra Leone,SLE,2024,89
Singapore,SGP,2024,93
Slovakia,SVK,2024,88.6
Slovenia,SVN,2024,91
South Africa,ZAF,2024,88.5
South Korea,KOR,2024,93.6
Spain,ESP,2024,88.4
Sri Lanka,LKA,2024,94.6
Sweden,SWE,2024,84.6
Switzerland,CHE,2024,83.8
Taiwan,TWN,2024,94.7
Tajikistan,TJK,2024,95.1
Tanzania,TZA,2024,81.6
Thailand,THA,2024,93.2
Togo,TGO,2024,96.7
Tunisia,TUN,2024,83.5
Turkey,TUR,2024,89
Uganda,UGA,2024,93.6
Ukraine,UKR,2024,86
United Kingdom,GBR,2024,83.4
United States,USA,2024,74
Uruguay,URY,2024,90.1
Uzbekistan,UZB,2024,93
Venezuela,VEN,2024,96.1
Vietnam,VNM,2024,96.9
World,OWID_WRL,2024,88.6
Zambia,ZMB,2024,86.4
Zimbabwe,ZWE,2024,67.5