Entity,Code,Year,Actions to tackle climate change
Afghanistan,AFG,2024,89.7
Albania,ALB,2024,86.9
Algeria,DZA,2024,80.1
Argentina,ARG,2024,91.6
Armenia,ARM,2024,82.7
Australia,AUS,2024,85.3
Austria,AUT,2024,87
Bangladesh,BGD,2024,87.2
Belgium,BEL,2024,90.7
Benin,BEN,2024,87.2
Bolivia,BOL,2024,96.3
Bosnia and Herzegovina,BIH,2024,85.8
Botswana,BWA,2024,85.1
Brazil,BRA,2024,92.5
Bulgaria,BGR,2024,88.4
Burkina Faso,BFA,2024,87.1
Cambodia,KHM,2024,96
Cameroon,CMR,2024,81.2
Canada,CAN,2024,86.9
Chile,CHL,2024,97.3
China,CHN,2024,95.9
Colombia,COL,2024,95.1
Congo,COG,2024,77.5
Costa Rica,CRI,2024,95.1
Cote d'Ivoire,CIV,2024,86.4
Croatia,HRV,2024,85.5
Cyprus,CYP,2024,93.8
Czechia,CZE,2024,87.2
Denmark,DNK,2024,91
Dominican Republic,DOM,2024,87.5
Ecuador,ECU,2024,94.8
Egypt,EGY,2024,63.3
El Salvador,SLV,2024,92.3
Estonia,EST,2024,78.9
Finland,FIN,2024,87.3
France,FRA,2024,87.8
Gabon,GAB,2024,88
Georgia,GEO,2024,91
Germany,DEU,2024,90.4
Ghana,GHA,2024,84.2
Greece,GRC,2024,87.9
Guatemala,GTM,2024,89.8
Guinea,GIN,2024,88.2
Honduras,HND,2024,88.7
Hong Kong,HKG,2024,92.9
Hungary,HUN,2024,90.6
Iceland,ISL,2024,91.5
India,IND,2024,77.1
Indonesia,IDN,2024,84.1
Iran,IRN,2024,91.3
Iraq,IRQ,2024,69.1
Ireland,IRL,2024,89.2
Israel,ISR,2024,75.7
Italy,ITA,2024,92
Jamaica,JAM,2024,83.5
Japan,JPN,2024,87.7
Jordan,JOR,2024,77.1
Kazakhstan,KAZ,2024,70.8
Kenya,KEN,2024,82.4
Kosovo,OWID_KOS,2024,89.2
Kyrgyzstan,KGZ,2024,85.4
Laos,LAO,2024,82.5
Latvia,LVA,2024,77.1
Lebanon,LBN,2024,67.1
Lithuania,LTU,2024,85.5
Madagascar,MDG,2024,76.7
Malawi,MWI,2024,63.7
Malaysia,MYS,2024,91.7
Mali,MLI,2024,94.4
Malta,MLT,2024,91.9
Mauritius,MUS,2024,94.7
Mexico,MEX,2024,95.8
Moldova,MDA,2024,79.1
Mongolia,MNG,2024,91.8
Morocco,MAR,2024,86.1
Mozambique,MOZ,2024,65.2
Myanmar,MMR,2024,95.4
Namibia,NAM,2024,86.5
Nepal,NPL,2024,87.2
Netherlands,NLD,2024,86.1
New Zealand,NZL,2024,84
Nicaragua,NIC,2024,93.2
Nigeria,NGA,2024,79.4
North Macedonia,MKD,2024,89.2
Norway,NOR,2024,90.8
Pakistan,PAK,2024,77.3
Panama,PAN,2024,89.8
Paraguay,PRY,2024,95
Peru,PER,2024,92.9
Philippines,PHL,2024,89.9
Poland,POL,2024,46.9
Portugal,PRT,2024,96.9
Romania,ROU,2024,89.1
Russia,RUS,2024,71.4
Saudi Arabia,SAU,2024,87.9
Senegal,SEN,2024,90.5
Serbia,SRB,2024,88.3
Sierra Leone,SLE,2024,81.6
Singapore,SGP,2024,91.4
Slovakia,SVK,2024,92.2
Slovenia,SVN,2024,92.8
South Africa,ZAF,2024,80.6
South Korea,KOR,2024,91.9
Spain,ESP,2024,86.5
Sri Lanka,LKA,2024,87.2
Sweden,SWE,2024,91.1
Switzerland,CHE,2024,91.5
Taiwan,TWN,2024,92.9
Tajikistan,TJK,2024,91.3
Tanzania,TZA,2024,69.6
Thailand,THA,2024,91.9
Togo,TGO,2024,92.3
Tunisia,TUN,2024,62.4
Turkey,TUR,2024,82.9
Uganda,UGA,2024,88.5
Ukraine,UKR,2024,83.5
United Arab Emirates,ARE,2024,92.3
United Kingdom,GBR,2024,86.5
United States,USA,2024,78.7
Uruguay,URY,2024,89.9
Uzbekistan,UZB,2024,95.9
Venezuela,VEN,2024,94
Vietnam,VNM,2024,93.5
World,OWID_WRL,2024,86.2
Zambia,ZMB,2024,75.5
Zimbabwe,ZWE,2024,56